-_149,TOK_SELEXPR_148
TOK_NULL_159,TOK_FUNCTION_157
TOK_BIGINT_158,TOK_FUNCTION_157
acookie_uv_160,TOK_SELEXPR_156
TOK_FUNCTION_157,TOK_SELEXPR_156
TOK_NULL_164,TOK_FUNCTION_162
TOK_BIGINT_163,TOK_FUNCTION_162
uid_uv_165,TOK_SELEXPR_161
TOK_FUNCTION_162,TOK_SELEXPR_161
TOK_NULL_169,TOK_FUNCTION_167
TOK_BIGINT_168,TOK_FUNCTION_167
ipv_170,TOK_SELEXPR_166
TOK_FUNCTION_167,TOK_SELEXPR_166
TOK_NULL_174,TOK_FUNCTION_172
TOK_BIGINT_173,TOK_FUNCTION_172
search_num_175,TOK_SELEXPR_171
TOK_FUNCTION_172,TOK_SELEXPR_171
TOK_NULL_179,TOK_FUNCTION_177
TOK_BIGINT_178,TOK_FUNCTION_177
collect_num_180,TOK_SELEXPR_176
TOK_FUNCTION_177,TOK_SELEXPR_176
TOK_NULL_184,TOK_FUNCTION_182
TOK_BIGINT_183,TOK_FUNCTION_182
collector_num_185,TOK_SELEXPR_181
TOK_FUNCTION_182,TOK_SELEXPR_181
c_189,TOK_TABLE_OR_COL_188
gmv_trade_num_190,._187
TOK_TABLE_OR_COL_188,._187
._187,TOK_SELEXPR_186
c_194,TOK_TABLE_OR_COL_193
gmv_trade_amt_195,._192
TOK_TABLE_OR_COL_193,._192
._192,TOK_SELEXPR_191
c_199,TOK_TABLE_OR_COL_198
gmv_auction_num_200,._197
TOK_TABLE_OR_COL_198,._197
._197,TOK_SELEXPR_196
c_204,TOK_TABLE_OR_COL_203
gmv_winner_num_205,._202
TOK_TABLE_OR_COL_203,._202
._202,TOK_SELEXPR_201
c_209,TOK_TABLE_OR_COL_208
alipay_trade_num_210,._207
TOK_TABLE_OR_COL_208,._207
._207,TOK_SELEXPR_206
c_214,TOK_TABLE_OR_COL_213
alipay_trade_amt_215,._212
TOK_TABLE_OR_COL_213,._212
._212,TOK_SELEXPR_211
c_219,TOK_TABLE_OR_COL_218
alipay_auction_num_220,._217
TOK_TABLE_OR_COL_218,._217
._217,TOK_SELEXPR_216
c_224,TOK_TABLE_OR_COL_223
alipay_winner_num_225,._222
TOK_TABLE_OR_COL_223,._222
._222,TOK_SELEXPR_221
TOK_NULL_229,TOK_FUNCTION_227
TOK_BIGINT_228,TOK_FUNCTION_227
item_num_230,TOK_SELEXPR_226
TOK_FUNCTION_227,TOK_SELEXPR_226
TOK_NULL_234,TOK_FUNCTION_232
TOK_BIGINT_233,TOK_FUNCTION_232
model_num_235,TOK_SELEXPR_231
TOK_FUNCTION_232,TOK_SELEXPR_231
TOK_NULL_239,TOK_FUNCTION_237
TOK_BIGINT_238,TOK_FUNCTION_237
brand_num_240,TOK_SELEXPR_236
TOK_FUNCTION_237,TOK_SELEXPR_236
TOK_NULL_244,TOK_FUNCTION_242
TOK_BIGINT_243,TOK_FUNCTION_242
shop_num_245,TOK_SELEXPR_241
TOK_FUNCTION_242,TOK_SELEXPR_241
TOK_NULL_249,TOK_FUNCTION_247
TOK_BIGINT_248,TOK_FUNCTION_247
active_shop_num_250,TOK_SELEXPR_246
TOK_FUNCTION_247,TOK_SELEXPR_246
TOK_NULL_254,TOK_FUNCTION_252
TOK_BIGINT_253,TOK_FUNCTION_252
gmv_shop_num_255,TOK_SELEXPR_251
TOK_FUNCTION_252,TOK_SELEXPR_251
TOK_NULL_259,TOK_FUNCTION_257
TOK_BIGINT_258,TOK_FUNCTION_257
active_item_num_260,TOK_SELEXPR_256
TOK_FUNCTION_257,TOK_SELEXPR_256
TOK_NULL_264,TOK_FUNCTION_262
TOK_DOUBLE_263,TOK_FUNCTION_262
gmv_price_265,TOK_SELEXPR_261
TOK_FUNCTION_262,TOK_SELEXPR_261
TOK_NULL_269,TOK_FUNCTION_267
TOK_DOUBLE_268,TOK_FUNCTION_267
alipay_price_270,TOK_SELEXPR_266
TOK_FUNCTION_267,TOK_SELEXPR_266
TOK_SELEXPR_266,TOK_SELECT_132
TOK_SELEXPR_261,TOK_SELECT_132
TOK_SELEXPR_256,TOK_SELECT_132
TOK_SELEXPR_251,TOK_SELECT_132
TOK_SELEXPR_246,TOK_SELECT_132
TOK_SELEXPR_241,TOK_SELECT_132
